File,Line Number,Route
account.cfm, 23, membership_cancel.cfm
account.cfm, 25, support.cfm
account.cfm, 26, edit_account.cfm
achievements.cfm, 61, /my_training.cfm
achievements.cfm, 75, 
achievements.cfm, 76, /leaderboard.cfm
campaigns.cfm, 73, /my_training.cfm?c=1
campaigns.cfm, 75, /course_library.cfm?c=1
channel.cfm, 116, /course_library.cfm
channel.cfm, 242, None
cliptrainingtab.cfm, 80, https://<cfoutput>#portalData.portal_name#</cfoutput>.cliptraining.com
course.cfm, 329, /admin/library_indev.cfm
course.cfm, 331, university.cfm
course.cfm, 334, itpro.cfm
course.cfm, 338, /my_training.cfm
course.cfm, 339, /lp.cfm
course.cfm, 340, /lp_toc.cfm?a=<cfoutput>#assignedData.assignment_id#
course.cfm, 343, /course_library.cfm
course.cfm, 344, /channel.cfm?c=<cfoutput>#channelData.channel_id#
course.cfm, 382, https://attendee.gotowebinar.com/register/5810768742868850445
course.cfm, 420, None
course.cfm, 423, None
course.cfm, 442, None
course.cfm, 445, None
course.cfm, 459, lp.cfm
course.cfm, 483, certificate_load.cfm?course_id=#courseData.course_id#
course.cfm, 485, certificate.cfm?course_id=#courseData.course_id#
course.cfm, 502, exam.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 509, dl.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 511, course_outline.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 512, puzzle.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 519, FS_docs/Customer_Management_Template.xlsx
course.cfm, 520, FS_docs/Inventory_Management_Template.xlsx
course.cfm, 522, FS_docs/Customer_Management_Template.xlsx
course.cfm, 523, FS_docs/Inventory_Management_Template.xlsx
course.cfm, 530, FS_docs/Creating_The_Experience_Workbook.pdf
course.cfm, 532, FS_docs/Creating_The_Experience_Workbook.pdf
course.cfm, 537, support.cfm?course_id=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 568, lesson.cfm?s=#sectionData.section_id#&c=#url.c#<cfif assignedData.recordCount GT 0>&lp=#url.lp#</cfif>
course.cfm, 594, share.cfm?l=#clipData.clip_id#&u=#theURL#
course.cfm, 612, None
course.cfm, 629, exam.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
course.cfm, 716, #markCourse
course_library.cfm, 241, /notifications.cfm
course_library.cfm, 340, /featured.cfm
course_library.cfm, 456, /lp.cfm
course_library.cfm, 469, lp_toc.cfm?a=#assignedData.assignment_id#
course_library.cfm, 521, course.cfm?c=#newData.course_id#
course_library.cfm, 553, /v10-7_intro.cfm
drop.cfm, 145, /course_library.cfm?c=1
drop.cfm, 146, /campaigns.cfm
edit_account.cfm, 118, javascript:;
edit_password.cfm, 731, /privacy.cfm
edit_password.cfm, 734, javascript:;
exam.cfm, 141, /admin/library_indev.cfm
exam.cfm, 143, /course_library.cfm
exam.cfm, 144, /channel.cfm?c=<cfoutput>#courseData.channel_id#
exam.cfm, 145, /course.cfm?c=<cfoutput>#courseData.course_id#
exam.cfm, 182, certificate_load.cfm?course_id=<cfoutput>#courseData.course_id#</cfoutput>
exam.cfm, 184, certificate.cfm?course_id=<cfoutput>#courseData.course_id#</cfoutput>
favorites.cfm, 141, course.cfm?c=#courseData.course_id#
favorites.cfm, 175, <cfif courseData.channel_id IS session.insightsChannel>insights.cfm<cfelse>lesson.cfm</cfif>?l=#courseData.clip_id#
favorites.cfm, 186, course_library.cfm
favorites.cfm, 190, #markLesson
featured.cfm, 138, course.cfm?c=#courseData.course_id#
featured.cfm, 172, <cfif courseData.channel_id IS session.insightsChannel>insights.cfm<cfelse>lesson.cfm</cfif>?l=#courseData.clip_id#
