FileName,Query Name,Query String
admin/grouping.cfm,ouCountData,"SELECT userz.user_id
					   FROM userz, groups
					   WHERE
					   	userz.group_id = groups.group_id
					   	AND userz.portal_id = #thePortalID#
					      AND groups.ou_id = #ouData.ou_id#
					      AND userz.user_inTrash = 0
					      AND userz.user_isDisabled = 0
					      AND (userz.user_expires IS NULL OR userz.user_expires = '' OR userz.user_expires >= '#dateFormat(now(),""yyyy-mm-dd 0:00:00"")#')
					"
FileName,Query Name,Query String
admin/grouping.cfm,adminPortalData,"SELECT userz.portal_id, userz.group_id, portals.portal_isReseller
   FROM userz, portals
   WHERE user_id = #Session.UserID# AND userz.portal_id = portals.portal_id
"
admin/grouping.cfm,adminOuData,"SELECT ou_id, sou_id
   FROM groups
   WHERE group_id = #adminPortalData.group_id#
"
admin/grouping.cfm,thisReseller,"SELECT portal_id, portal_isReseller, portal_reseller
	   FROM portals
	   WHERE portal_id = #Session.PortalID#
	"
admin/grouping.cfm,uData,"SELECT user_partnerManager
	   FROM userz
	   WHERE user_id = '#Session.UserID#'
	"
admin/grouping.cfm,mpData,"SELECT portal_id
		   FROM portals
		   WHERE portal_manager_id = '#Session.UserID#'
		"
admin/grouping.cfm,userErrorData,"SELECT userz.user_firstname, userz.user_lastname, userz.user_email, portals.portal_name
					   FROM userz, portals
					   WHERE userz.user_id = #session.UserID# AND portals.portal_id = userz.portal_id
					"
admin/grouping.cfm,pData,"SELECT group_type
	   FROM portals
	   WHERE portal_id = #thePortalID#
	"
admin/grouping.cfm,assignedOuData,"SELECT ou_id, sou_id
	   FROM groups
	   WHERE group_id = #adminPortalData.group_id#
	"
admin/grouping.cfm,defaultOuData,"SELECT ou_id
	   FROM ou
	   WHERE portal_id = #thePortalID# AND ou_isDefault = 1
	"
admin/grouping.cfm,defaultSouData,"SELECT sou_id
	   FROM sou
	   WHERE portal_id = #thePortalID# AND sou_isDefault = 1
	"
admin/grouping.cfm,getGroupData,"SELECT ou_id
	   FROM groups
	   WHERE group_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#url.og#"">
	"
admin/grouping.cfm,getSouData,"SELECT ou_id
	   FROM sou
	   WHERE sou_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#url.os#"">
	"
admin/grouping.cfm,siteData,"SELECT portal_id, portal_name
   FROM portals
   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
      <cfif session.User_Access GT 4 AND url.partner_id IS NOT """">
         AND portal_reseller = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#URL.partner_id#"">
         OR portal_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#URL.partner_id#"">
	    	<cfif URL.partner_id IS thePortalID>OR portal_id = '#thePortalID#'</cfif>
      <cfelseif session.User_Access IS 5 AND url.partner_id IS """">
         <cfquery name=""subPartnerData"" datasource=""#session.DataSource#"">
			   SELECT portal_id
			   FROM portals
			   WHERE portals.portal_distributor = #Session.PortalID#
			"
admin/grouping.cfm,subPortalData,"SELECT portal_id
				   FROM portals
				   WHERE portals.portal_reseller = #subPartnerData.portal_id#
				"
admin/grouping.cfm,partnerData,"SELECT portal_id, portal_name
	   FROM portals
	   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
	   	AND portal_distributor = #session.PortalID# OR portal_id = #session.PortalID#
	   ORDER BY portal_name
	"
admin/grouping.cfm,partnerData,"SELECT portal_id, portal_name
	   FROM portals
	   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
	   	AND portal_isReseller = 1
 	   ORDER BY portal_name
	"
admin/grouping.cfm,ouData,"SELECT ou_id, ou_name
	   FROM ou
	   WHERE portal_id = #thePortalID#<cfif url.namesearch IS NOT """"> AND ou_name LIKE '#url.namesearch#%'</cfif><cfif Session.User_Access LT 4> AND ou_id = #adminOuData.ou_id#</cfif>
	   ORDER BY #url.sort# #url.dir#
	"
admin/grouping.cfm,ouCountData,"SELECT userz.user_id
					   FROM userz, groups
					   WHERE
					   	userz.group_id = groups.group_id
					   	AND userz.portal_id = #thePortalID#
					      AND groups.ou_id = #ouData.ou_id#
					      AND userz.user_inTrash = 0
					      AND userz.user_isDisabled = 0
					      AND (userz.user_expires IS NULL OR userz.user_expires = '' OR userz.user_expires >= '#dateFormat(now(),""yyyy-mm-dd 0:00:00"")#')
					"
FileName,Query Name,Query String
admin/grouping.cfm,adminPortalData,"SELECT userz.portal_id, userz.group_id, portals.portal_isReseller
   FROM userz, portals
   WHERE user_id = #Session.UserID# AND userz.portal_id = portals.portal_id
"
admin/grouping.cfm,adminOuData,"SELECT ou_id, sou_id
   FROM groups
   WHERE group_id = #adminPortalData.group_id#
"
admin/grouping.cfm,thisReseller,"SELECT portal_id, portal_isReseller, portal_reseller
	   FROM portals
	   WHERE portal_id = #Session.PortalID#
	"
admin/grouping.cfm,uData,"SELECT user_partnerManager
	   FROM userz
	   WHERE user_id = '#Session.UserID#'
	"
admin/grouping.cfm,mpData,"SELECT portal_id
		   FROM portals
		   WHERE portal_manager_id = '#Session.UserID#'
		"
admin/grouping.cfm,userErrorData,"SELECT userz.user_firstname, userz.user_lastname, userz.user_email, portals.portal_name
					   FROM userz, portals
					   WHERE userz.user_id = #session.UserID# AND portals.portal_id = userz.portal_id
					"
admin/grouping.cfm,pData,"SELECT group_type
	   FROM portals
	   WHERE portal_id = #thePortalID#
	"
admin/grouping.cfm,assignedOuData,"SELECT ou_id, sou_id
	   FROM groups
	   WHERE group_id = #adminPortalData.group_id#
	"
admin/grouping.cfm,defaultOuData,"SELECT ou_id
	   FROM ou
	   WHERE portal_id = #thePortalID# AND ou_isDefault = 1
	"
admin/grouping.cfm,defaultSouData,"SELECT sou_id
	   FROM sou
	   WHERE portal_id = #thePortalID# AND sou_isDefault = 1
	"
admin/grouping.cfm,getGroupData,"SELECT ou_id
	   FROM groups
	   WHERE group_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#url.og#"">
	"
admin/grouping.cfm,getSouData,"SELECT ou_id
	   FROM sou
	   WHERE sou_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#url.os#"">
	"
admin/grouping.cfm,siteData,"SELECT portal_id, portal_name
   FROM portals
   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
      <cfif session.User_Access GT 4 AND url.partner_id IS NOT """">
         AND portal_reseller = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#URL.partner_id#"">
         OR portal_id = <cfqueryparam cfsqltype=""CF_SQL_INTEGER"" value=""#URL.partner_id#"">
	    	<cfif URL.partner_id IS thePortalID>OR portal_id = '#thePortalID#'</cfif>
      <cfelseif session.User_Access IS 5 AND url.partner_id IS """">
         <cfquery name=""subPartnerData"" datasource=""#session.DataSource#"">
			   SELECT portal_id
			   FROM portals
			   WHERE portals.portal_distributor = #Session.PortalID#
			</cfquery>
			<cfset subPortalList = """">
			<cfloop query=""subPartnerData"">
		      <cfquery name=""subPortalData"" datasource=""#session.DataSource#"">
				   SELECT portal_id
				   FROM portals
				   WHERE portals.portal_reseller = #subPartnerData.portal_id#
				</cfquery>
				<cfset subPortalList = listAppend(subPortalList,subPortalData.portal_id)>
			</cfloop>
			AND (portals.portal_id = #session.PortalID#
			OR portals.portal_reseller = #session.PortalID#
			OR portals.portal_distributor = #Session.PortalID#
			<cfloop list=""#subPortalList#"" index=""i"">
				OR portals.portal_id = #i#
			</cfloop>)
      <cfelseif isManager>
	   	AND (portal_reseller = #resellerPortalID#
	   	<cfif thePortalID IS NOT """">OR portal_id = #thePortalID#</cfif>
	   	<cfif listLen(managedPortals)>
	   		<cfloop list=""#managedPortals#"" index=""i"">OR portal_reseller = #i# OR portal_id = #i#</cfloop>
	   	</cfif>
	   	OR portal_id = #resellerPortalID#)
      <cfelseif session.isReseller AND thePortalID IS NOT """" AND session.PortalID IS NOT 102>
	   	AND (portal_reseller = #resellerPortalID# OR portal_id = #thePortalID#)
	   </cfif>
   ORDER BY portal_name
"
admin/grouping.cfm,partnerData,"SELECT portal_id, portal_name
	   FROM portals
	   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
	   	AND portal_distributor = #session.PortalID# OR portal_id = #session.PortalID#
	   ORDER BY portal_name
	"
admin/grouping.cfm,partnerData,"SELECT portal_id, portal_name
	   FROM portals
	   WHERE isDisabled = 0 AND portal_inTrash = 0 AND (license_expiration >= '#dateFormat(now(),""yyyy-mm-dd"")#' OR license_expiration IS NULL OR license_expiration = '')
	   	AND portal_isReseller = 1
 	   ORDER BY portal_name
	"
admin/grouping.cfm,ouData,"SELECT ou_id, ou_name
	   FROM ou
	   WHERE portal_id = #thePortalID#<cfif url.namesearch IS NOT """"> AND ou_name LIKE '#url.namesearch#%'</cfif><cfif Session.User_Access LT 4> AND ou_id = #adminOuData.ou_id#</cfif>
	   ORDER BY #url.sort# #url.dir#
	"
admin/grouping.cfm,ouCountData,"SELECT userz.user_id
					   FROM userz, groups
					   WHERE
					   	userz.group_id = groups.group_id
					   	AND userz.portal_id = #thePortalID#
					      AND groups.ou_id = #ouData.ou_id#
					      AND userz.user_inTrash = 0
					      AND userz.user_isDisabled = 0
					      AND (userz.user_expires IS NULL OR userz.user_expires = '' OR userz.user_expires >= '#dateFormat(now(),""yyyy-mm-dd 0:00:00"")#')
					"
account.cfm,accountUserData,"SELECT user_id, user_email, user_login, user_date_created, user_expires, user_phone, user_firstname, user_lastname, user_avatar
   FROM userz
   WHERE user_id = '#Session.UserID#'
"
achievements.cfm,portalData,"SELECT portal_icon, enable_exams, enable_share
   FROM portals
   WHERE portal_id = #Session.PortalID#
"
achievements.cfm,userData,"SELECT groups.group_courses, userz.user_ilt_courses, userz.user_points, userz.user_date_created, userz.user_clipCount, userz.user_clipTime
   FROM userz, groups
   WHERE userz.user_id = #Session.UserID# AND userz.group_id = groups.group_id
"
achievements.cfm,getTokenData,"SELECT share_tracking_id
			FROM share_tracking
			WHERE user_id = #Session.UserID#
		"
achievements.cfm,getExamData,"SELECT DISTINCT exampass_id, point_date
		   FROM points
		   WHERE user_id = #Session.UserID# AND exampass_id IS NOT NULL
		"
achievements_trophy.cfm,userData,"SELECT groups.group_courses
   FROM userz, groups
   WHERE userz.user_id = #Session.UserID# AND userz.group_id = groups.group_id
"
achievements_trophy.cfm,portalData2,"SELECT enable_exams
   FROM portals
   WHERE portal_id = #Session.PortalID#
"
achievements_trophy.cfm,examExistData,"SELECT DISTINCT course_id
   FROM questions
	WHERE isExam = 1
"
achievements_trophy.cfm,pointsData,"SELECT TOP 1 point_id, point_date
		   FROM points
		   WHERE user_id = #Session.UserID# AND exampass_id = #theCourseID#
		   ORDER BY point_id DESC
		"
achievements_trophy.cfm,pointsData,"SELECT TOP 1 point_id
	   FROM points
	   WHERE user_id = #Session.UserID# AND course_id = #theCourseID#
	"
achievements_trophy.cfm,channelData,"SELECT DISTINCT channels.channel_id, channels.channel_name, channels.channel_sort
	   FROM courses, channels
	   WHERE courses.channel_id = channels.channel_id
	   	<cfif listLen(completedList) GT 0>AND (<cfset theRow = 0><cfloop list=""#completedList#"" index=""i""><cfset theRow ++>courses.course_id = #i# <cfif theRow IS NOT listLen(completedList)>OR </cfif></cfloop>)</cfif>
	   	AND channels.channel_id <> #session.helpChannel# AND channels.channel_id <> #session.universityChannel# AND channels.channel_id <> #session.insightsChannel#  AND channels.channel_id <> #session.itproChannel#<!--- NOT Help or University or Insights or IT Pro channels --->
	   ORDER BY channel_sort
	"
achievements_trophy.cfm,channelCourseData,"SELECT course_id, course_name, course_sort, course_header
		   FROM courses
		   WHERE channel_id = #channelData.channel_id#
		   	<cfif listLen(completedList) GT 0>AND (<cfset theRow = 0><cfloop list=""#completedList#"" index=""i""><cfset theRow ++>courses.course_id = #i# <cfif theRow IS NOT listLen(completedList)>OR </cfif></cfloop>)</cfif>
		   ORDER BY course_name
		"
